epochs,function,layer 1,layer 2,layer 3,learning rate,test MSE,Percentage movement correct,Ratio Made
3000.0,TanhShrink,128.0,64.0,16.0,0.03,0.009122165851294994,48.412696838378906,1.7246336936950684
3000.0,TanhShrink,128.0,64.0,16.0,0.03,0.009122165851294994,48.412696838378906,1.7246336936950684
5000.0,Relu,128.0,64.0,16.0,0.003,0.013472841121256351,51.984127044677734,2.1834652423858643
5000.0,Relu,128.0,32.0,4.0,0.003,0.011468961834907532,52.77777862548828,1.9509572982788086
10000.0,TanhShrink,128.0,32.0,4.0,0.003,0.012745310552418232,48.80952453613281,1.465869665145874
10000.0,Relu,128.0,32.0,4.0,0.003,0.016698641702532768,50.39682388305664,1.8300671577453613
3000.0,TanhShrink,128.0,32.0,4.0,0.001,0.008716515265405178,51.984127044677734,1.895570158958435
3000.0,Relu,128.0,32.0,4.0,0.001,0.008995210751891136,51.587303161621094,1.8692381381988525
5000.0,TanhShrink,128.0,32.0,4.0,0.001,0.009677101857960224,57.14285659790039,2.3316922187805176
5000.0,Relu,128.0,32.0,4.0,0.001,0.028379781171679497,52.77777862548828,1.8586348295211792
10000.0,TanhShrink,128.0,32.0,4.0,0.001,0.014240519143640995,54.761905670166016,1.9249008893966675
10000.0,Relu,128.0,32.0,4.0,0.001,0.01752689853310585,55.55555725097656,2.136032819747925
3000.0,TanhShrink,128.0,16.0,16.0,0.03,0.008015102706849575,53.96825408935547,2.183799982070923
10000.0,TanhShrink,128.0,64.0,16.0,0.003,0.01336590014398098,51.984127044677734,1.709921956062317
3000.0,Relu,128.0,16.0,16.0,0.03,0.016143590211868286,52.77777862548828,2.02994966506958
5000.0,TanhShrink,128.0,16.0,16.0,0.03,0.03045925684273243,50.39682388305664,1.8923777341842651
5000.0,Relu,128.0,16.0,16.0,0.03,0.01543323416262865,55.55555725097656,1.8980708122253418
10000.0,TanhShrink,128.0,16.0,16.0,0.03,0.011531165800988674,48.80952453613281,1.5932302474975586
10000.0,Relu,128.0,16.0,16.0,0.03,0.013227405957877636,58.33333206176758,2.2851147651672363
3000.0,TanhShrink,128.0,16.0,16.0,0.003,0.009421582333743572,55.158729553222656,2.146800994873047
3000.0,Relu,128.0,16.0,16.0,0.003,0.010158783756196499,51.587303161621094,1.8125724792480469
5000.0,TanhShrink,128.0,16.0,16.0,0.003,0.0105216009542346,58.33333206176758,2.3631670475006104
5000.0,Relu,128.0,16.0,16.0,0.003,0.01360631175339222,52.380950927734375,1.7630780935287476
10000.0,TanhShrink,128.0,16.0,16.0,0.003,0.013450651429593563,52.380950927734375,1.8763878345489502
10000.0,Relu,128.0,64.0,16.0,0.003,0.01621859334409237,58.33333206176758,2.449906349182129
10000.0,Relu,128.0,16.0,16.0,0.003,0.013857911340892315,52.380950927734375,1.7921062707901
3000.0,TanhShrink,128.0,16.0,16.0,0.001,0.008923259563744068,53.17460250854492,2.0207064151763916
3000.0,Relu,128.0,16.0,16.0,0.001,0.011100762523710728,59.92063522338867,2.5850651264190674
5000.0,TanhShrink,128.0,16.0,16.0,0.001,0.010000225156545639,53.96825408935547,1.9429056644439697
5000.0,Relu,128.0,16.0,16.0,0.001,0.015306789427995682,55.55555725097656,1.978498101234436
10000.0,TanhShrink,128.0,16.0,16.0,0.001,0.01416722685098648,55.55555725097656,2.0026156902313232
10000.0,Relu,128.0,16.0,16.0,0.001,0.011883743107318878,52.77777862548828,2.0078518390655518
3000.0,TanhShrink,128.0,16.0,8.0,0.03,0.008415364660322666,52.380950927734375,2.2381818294525146
3000.0,Relu,128.0,16.0,8.0,0.03,0.014649520628154278,53.17460250854492,1.8866662979125977
5000.0,TanhShrink,128.0,16.0,8.0,0.03,0.022164946421980858,49.60317611694336,1.4798539876937866
3000.0,TanhShrink,128.0,64.0,16.0,0.001,0.009235835634171963,52.380950927734375,1.9959614276885986
5000.0,Relu,128.0,16.0,8.0,0.03,0.014214657247066498,53.17460250854492,1.6663023233413696
10000.0,TanhShrink,128.0,16.0,8.0,0.03,0.01250092126429081,48.015872955322266,1.7768001556396484
10000.0,Relu,128.0,16.0,8.0,0.03,0.4487524628639221,51.984127044677734,1.7382885217666626
3000.0,TanhShrink,128.0,16.0,8.0,0.003,0.008625520393252373,53.57143020629883,1.8538068532943726
3000.0,Relu,128.0,16.0,8.0,0.003,0.013809033669531345,53.57143020629883,1.6957390308380127
5000.0,TanhShrink,128.0,16.0,8.0,0.003,0.010389808565378189,56.74603271484375,2.2417635917663574
5000.0,Relu,128.0,16.0,8.0,0.003,0.014914251863956451,53.57143020629883,1.842389702796936
10000.0,TanhShrink,128.0,16.0,8.0,0.003,0.011818544007837772,52.77777862548828,1.7566077709197998
10000.0,Relu,128.0,16.0,8.0,0.003,0.02041652798652649,52.380950927734375,1.7598984241485596
